Index,accident_year,latitude,longitude,primary_rd,secondary_rd,population,number_killed,alcohol_involved,stwd_vehtype_at_fault,case_id,number_injured,distance,direction,month,day,year,day_of_week,hour,minute,city_code,city_name,county_code,pcf_code,collision_type_code,mviw_code,lighting_code,severity_code,road_surface_code,weather_code,dvmt
12,2013,33.7457095,-116.970597,HARVARD ST,KIMBALL AV,5,0,1,Unknown,5973951,0,188,S,1,1,2013,1,1,49,19,Hemet,,0,5,15,1,1,0,0,613.66
13,2013,34.1094503,-117.418398,ALDER AV,MCWETHY DR,6,0,1,Passenger Car/Station Wagon,6001243,0,0,,1,1,2013,1,1,56,17,Fontana,,0,2,4,1,1,0,0,2111.17
14,2013,33.808661,-116.5282555,SOUTH SUNRISE WY,E MESQUITE AV,4,0,0,Passenger Car/Station Wagon,5940025,0,0,,1,1,2013,1,2,7,36,Palm Springs,,0,1,11,1,1,0,0,966.6
15,2013,33.93869,-117.53258,6TH ST,PEDLEY AV,4,0,0,Pickup or Panel Truck,5888676,0,21,E,1,1,2013,1,2,49,33,Norco,,0,6,4,1,1,0,0,318.06
16,2013,34.077927,-117.6509038,RT 10,4TH ST,6,0,0,Passenger Car/Station Wagon,5949756,1,2112,W,1,1,2013,1,3,0,34,Ontario,,0,2,4,1,2,0,0,2160.92
17,2013,34.5084,-117.31914,GREEN TREE BL,SAINT ANDREWS DR,5,0,0,Pickup or Panel Truck,5914235,0,0,,1,1,2013,1,3,4,48,Victorville,,0,2,4,1,1,0,0,1334.28
18,2013,33.94088,-117.24986,RT 60,HEACOCK ST,6,0,1,Passenger Car/Station Wagon,6001650,1,1320,W,1,1,2013,1,3,5,30,Moreno Valley,,0,4,8,0,2,0,0,1631.99
19,2013,34.1282616,-117.5060583,RT 15,VICTORIA ST,6,0,1,Passenger Car/Station Wagon,5900530,1,50,S,1,1,2013,1,3,30,17,Fontana,,0,5,11,1,3,0,1,2111.17
20,2013,34.1282616,-117.5060583,RT 15,VICTORIA ST,6,0,1,Passenger Car/Station Wagon,5972049,0,20,S,1,1,2013,1,3,33,17,Fontana,,0,0,11,1,1,0,1,2111.17
21,2013,34.0924854,-117.646198,OLIVEDALE PK,SULTANA AV,5,0,0,Pickup or Panel Truck,6019565,0,408,E,1,1,2013,1,4,5,47,Upland,,3,2,4,1,1,0,1,1021.08
22,2013,34.1063989,-117.5931084,RT 15,RT 210,6,0,1,Passenger Car/Station Wagon,6002002,0,2350,S,1,1,2013,1,4,10,38,Rancho Cucamonga,,0,6,11,1,1,0,0,2312.32
23,2013,34.01996,-117.04318,YUCAIPA BL,2ND ST,4,0,0,Passenger Car/Station Wagon,5975524,0,0,,1,1,2013,1,4,13,50,Yucaipa,,0,2,13,1,1,0,0,475.27
24,2013,34.105266,-117.453649,RT 10,CITRUS AV,6,0,0,Pickup or Panel Truck,5890836,1,2640,W,1,1,2013,1,4,22,17,Fontana,,0,5,11,0,2,0,0,2111.17
25,2013,34.3831408,-117.346193,RANCHERO RD,MAPLE AV,5,0,0,Pedestrian,6002774,1,0,,1,1,2013,1,4,54,20,Hesperia,,0,8,17,0,2,0,0,1438.21
26,2013,33.74369,-117.17165,RT 74,ANTELOPE RD,5,0,0,Passenger Car/Station Wagon,5991446,1,84,E,1,1,2013,1,5,19,28,Menifee,,0,2,4,1,2,0,0,636.78
27,2013,34.35012,-117.43958,RT 15,OAK HILL RD,6,0,0,Passenger Car/Station Wagon,5908720,2,7920,S,1,1,2013,1,5,51,43,San Bernardino,,0,5,11,0,2,0,0,2147.88
28,2013,34.4315442,-116.9720263,RT 15,E BAKER RD,9,0,1,Passenger Car/Station Wagon,5982477,0,2376,N,1,1,2013,1,6,8,5,Big Bear Lake,,0,6,11,4,1,0,0,242.33
29,2013,34.077927,-117.6509038,RT 10,4TH ST,6,0,0,Passenger Car/Station Wagon,5940001,1,2112,E,1,1,2013,1,6,20,34,Ontario,,0,2,4,3,2,0,0,2160.92
30,2013,33.67082,-115.91593,FRONTAGE RD,RT 10,9,0,0,Passenger Car/Station Wagon,5991341,0,528,W,1,1,2013,1,6,40,12,Coachella,,0,4,8,4,1,0,1,282.92
31,2013,34.9592083,-116.419389,RT 15,AFTON CANYON RD,9,0,0,Passenger Car/Station Wagon,5982449,0,7973,N,1,1,2013,1,7,35,3,Barstow,,0,2,4,3,1,0,0,622.78
32,2013,33.96458,-117.24389,HEACOCK ST,SUNNYMEAD RANCH PKWY,6,0,1,Passenger Car/Station Wagon,5977178,1,532,N,1,1,2013,1,7,36,30,Moreno Valley,,0,6,11,3,3,0,1,1631.99
33,2013,34.018,-117.682,14TH ST,RIVERSIDE DR,5,0,0,Unknown,5991632,0,264,S,1,1,2013,1,9,57,10,Chino,,0,2,4,3,1,0,0,995.67
34,2013,34.8022,-115.3363,RT 40,ESSEX RD,9,0,0,Passenger Car/Station Wagon,5972057,0,4200,W,1,1,2013,1,10,45,32,Needles,,0,6,11,3,1,0,0,52.64
35,2013,34.23234,-117.25741,FAULHORN DR,VALLE DR,9,0,0,Unknown,5888789,0,230,W,1,1,2013,1,11,42,21,Highland,,4,6,11,3,1,3,1,444.76
36,2013,33.9541307,-117.4186474,STREETER AV,BENICIA DR,7,0,0,Unknown,5940259,0,45,S,1,1,2013,1,11,44,42,Riverside,,5,2,4,3,1,0,1,4187.48
37,2013,33.709,-117.187,RT 215,MCCALL BL,5,0,0,Passenger Car/Station Wagon,5948756,1,6336,S,1,1,2013,1,12,12,28,Menifee,,0,0,8,3,2,0,0,636.78
38,2013,33.9424303,-117.2614775,PIGEON PASS RD,HEMLOCK AV,6,0,0,Passenger Car/Station Wagon,5903157,1,250,N,1,1,2013,1,12,30,30,Moreno Valley,,0,0,11,3,2,0,0,1631.99
39,2013,34.40398,-117.40156,RT 395,JOSHUA ST,5,0,0,Other Vehicle,6001245,0,0,,1,1,2013,1,12,51,20,Hesperia,,0,5,11,3,1,0,0,1438.21
40,2013,33.79888,-117.50251,RT 15,WEIRICK RD,9,0,0,Passenger Car/Station Wagon,6001678,2,3715,S,1,1,2013,1,13,0,14,Corona,,0,5,11,3,3,0,1,1610.5
41,2013,34.0190928,-117.5757784,HAVEN AV,RIVERSIDE DR,6,0,0,Unknown,5940945,0,0,,1,1,2013,1,13,4,34,Ontario,,0,5,11,3,1,0,1,2160.92
42,2013,33.5034,-116.1129,PIERCE ST,76TH AV,9,0,1,Passenger Car/Station Wagon,5977180,2,1700,N,1,1,2013,1,13,55,12,Coachella,,0,4,8,3,3,0,0,282.92
43,2013,34.09557,-116.95873,RT 38,VALLEY OF THE FALLS DR,9,0,0,Passenger Car/Station Wagon,5974139,1,0,,1,1,2013,1,14,19,50,Yucaipa,,0,0,11,3,2,0,1,475.27
44,2013,34.1279205,-117.5145323,RT 210,EAST AV,6,0,0,Passenger Car w/ Trailer,6001680,1,2251,E,1,1,2013,1,14,20,38,Rancho Cucamonga,,0,2,4,3,2,0,0,2312.32
45,2013,34.1267275,-117.2926044,N WILSON,MAGNOLIA,6,0,0,Unknown,6158937,0,200,N,1,1,2013,1,14,34,43,San Bernardino,,0,6,11,1,1,0,0,2147.88
46,2013,33.9942737,-117.4971606,MISSION BL,EDISON POLE #4794409E,6,0,0,Unknown,5982427,2,36,W,1,1,2013,1,14,37,24,Jurupa Valley,,0,2,4,3,2,0,0,#N/A
47,2013,34.90201,-116.98685,RT 15,RT 58,9,0,0,Passenger Car/Station Wagon,5946565,1,157,N,1,1,2013,1,14,40,3,Barstow,,0,5,11,3,2,0,1,622.78
48,2013,35.4016983,-115.7908725,RT 15,HALLORAN SUMMIT RD,9,0,0,Unknown,5982441,0,11458,S,1,1,2013,1,14,43,46,Twentynine Palms,,0,2,4,3,1,0,0,186
49,2013,34.13287,-117.4726114,LINDBERGH AV,YEAGER AV,6,0,0,Unknown,5982625,0,0,,1,1,2013,1,15,21,17,Fontana,,0,5,15,3,1,0,0,2111.17
50,2013,34.22884,-117.13442,RT 18,NOB HILL DR,9,0,0,Passenger Car/Station Wagon,5940093,0,5280,S,1,1,2013,1,15,40,21,Highland,,0,2,4,3,1,0,0,444.76
51,2013,33.56129,-117.10936,POURROY RD,PROMONTORY RD,9,0,0,Passenger Car/Station Wagon,5974341,0,45,S,1,1,2013,1,15,45,45,Temecula,,0,2,13,3,1,0,0,1646.46
52,2013,33.87059,-117.54472,RT 15,MAGNOLIA AV,6,0,0,Passenger Car/Station Wagon,5888465,0,1800,N,1,1,2013,1,16,10,14,Corona,,0,6,11,3,1,0,1,1610.5
53,2013,34.3169,-117.49911,RT 138,LONE PINE CANYON RD,9,0,0,Passenger Car/Station Wagon,5946589,1,1000,W,1,1,2013,1,16,45,20,Hesperia,,0,5,11,4,2,0,1,1438.21
54,2013,34.19023,-117.3601,RT 215,PALM AV,6,1,0,Passenger Car/Station Wagon,5910881,1,153,S,1,1,2013,1,16,58,43,San Bernardino,,0,2,4,4,0,0,0,2147.88
55,2013,34.105266,-117.453649,VICTORIA AV,CITRUS AV,6,0,0,Passenger Car/Station Wagon,6149908,3,0,,1,1,2013,1,17,35,43,San Bernardino,,0,0,11,1,2,0,1,2147.88
56,2013,34.077511,-117.6111233,VINEYARD AV,E 4TH ST,6,0,0,Unknown,5940996,0,200,S,1,1,2013,1,17,40,34,Ontario,,0,0,6,1,1,0,0,2160.92
57,2013,34.09557,-116.95873,RT 38,VALLEY OF THE FALLS DR,6,0,0,Passenger Car/Station Wagon,5908682,3,0,,1,1,2013,1,17,45,43,San Bernardino,,0,0,11,0,3,0,1,2147.88
58,2013,34.0191301,-117.5931154,RIVERSIDE DR,ARCHIBALD AV,6,0,0,Passenger Car/Station Wagon,5946278,0,15,E,1,1,2013,1,17,54,34,Ontario,,0,5,11,1,1,0,0,2160.92
59,2013,33.9943,-117.35993,RT 91,RT 215,7,0,0,Unknown,5940426,0,1320,W,1,1,2013,1,18,35,42,Riverside,,0,6,11,1,1,0,0,4187.48
60,2013,33.91017,-117.24359,HEACOCK ST,CACTUS AV,6,0,0,Pickup or Panel Truck,5899799,1,28,S,1,1,2013,1,18,47,30,Moreno Valley,,0,5,11,1,2,0,0,1631.99
61,2013,34.4250137,-117.3250711,RT 395,MAIN ST,5,0,0,Passenger Car/Station Wagon,6001249,0,528,N,1,1,2013,1,18,56,20,Hesperia,,0,5,11,1,1,0,0,1438.21
62,2013,34.5008859,-117.3774434,ARVILA ST,PRINCETON DR,5,0,0,Passenger Car/Station Wagon,5996656,0,0,,1,1,2013,1,18,56,48,Victorville,,0,2,4,1,1,0,0,1334.28
63,2013,34.0841912,-117.6509246,RT 83,LA DENEY,6,0,0,Unknown,5946318,0,12,S,1,1,2013,1,19,5,34,Ontario,,0,1,4,1,1,1,0,2160.92
64,2013,34.31172,-117.47808,RT 138,CAJON BL,9,0,0,Passenger Car/Station Wagon,5981625,2,10,E,1,1,2013,1,19,40,20,Hesperia,,0,0,11,0,2,0,0,1438.21
65,2013,34.51969,-117.3381,SENECA RD,ARLETTE DR,5,0,0,Emergency Vehicle,5815011,0,117,E,1,1,2013,1,19,55,48,Victorville,,0,6,15,1,1,0,0,1334.28
66,2013,34.4212525,-117.3383686,WILSON ST,COTTONWOOD AV,5,0,0,Passenger Car/Station Wagon,5999868,0,528,W,1,1,2013,1,20,15,20,Hesperia,,0,6,11,0,1,0,0,1438.21
67,2013,34.3759721,-117.3409715,WILSON WY,FARMINGTON ST,5,0,0,Passenger Car/Station Wagon,6001257,0,200,S,1,1,2013,1,20,16,20,Hesperia,,0,5,11,1,1,0,0,1438.21
68,2013,34.8721588,-117.0323712,CANAVAN ST,GARNET AV,3,0,0,Passenger Car/Station Wagon,5949222,0,111,W,1,1,2013,1,20,25,3,Barstow,,0,1,15,1,1,0,0,622.78
69,2013,33.9829913,-117.3311162,W BLAINE ST,CANYON CREST DR,7,0,0,Pickup or Panel Truck,6036035,0,35,E,1,1,2013,1,20,57,42,Riverside,,0,5,11,1,1,0,0,4187.48
70,2013,33.68782,-115.51697,RT 10,RED CLOUD RD,9,0,0,Unknown,5940951,0,18480,E,1,1,2013,1,21,13,12,Coachella,,4,3,0,0,1,0,0,282.92
71,2013,33.91712,-117.26695,ALESSANDRO BL,VETERANS WAY,6,0,0,Passenger Car/Station Wagon,6002029,0,220,E,1,1,2013,1,23,36,30,Moreno Valley,,0,2,13,1,1,0,0,1631.99
72,2013,34.15656,-117.28503,NORTH SIERRA WY,E 36TH ST,6,0,1,Passenger Car/Station Wagon,6158933,1,284,N,1,2,2013,2,0,6,43,San Bernardino,,0,2,15,1,2,0,0,2147.88
73,2013,33.93306,-117.39974,YSMAEL VILLEGAS ST,BUNKER ST,7,0,0,Unknown,5974717,0,238,W,1,2,2013,2,1,0,42,Riverside,,0,5,15,1,1,0,0,4187.48
74,2013,34.0836499,-117.6895009,CENTRAL AV,COSTCO DR,4,0,0,Truck/Truck Tractor with Trailer,5900901,0,0,,1,2,2013,2,1,0,29,Montclair,,0,2,4,5,1,1,3,567.09
75,2013,34.2029,-117.37666,RT 215,LITTLE LEAGUE,6,0,0,Passenger Car/Station Wagon,6390988,0,1500,N,1,2,2013,2,1,50,43,San Bernardino,,0,5,15,0,1,0,0,2147.88
76,2013,33.99906,-117.423,PACIFIC AV,42ND ST,6,0,0,Unknown,5980096,0,0,,1,2,2013,2,2,51,24,Jurupa Valley,,0,2,4,1,1,0,0,#N/A
77,2013,34.06246,-117.22295,FOOTHILL BL,WILLOW AV,5,0,0,Passenger Car/Station Wagon,5998756,3,0,,1,2,2013,2,4,50,41,Rialto,,3,5,11,1,2,0,0,1150.5
78,2013,34.15708,-116.95419,RT 38,MILL CREEK RD,9,0,0,Passenger Car/Station Wagon,6001679,1,10560,E,1,2,2013,2,5,20,5,Big Bear Lake,,0,2,4,0,2,0,0,242.33
79,2013,34.0633443,-117.6508876,RT 60,RT 83,6,0,0,Passenger Car/Station Wagon,6001656,1,3500,E,1,2,2013,2,5,39,34,Ontario,,0,6,11,1,2,0,0,2160.92
80,2013,33.93542,-117.21375,FIR AV,ARDOS ST,6,0,0,Passenger Car/Station Wagon,5888680,0,194,E,1,2,2013,2,6,15,30,Moreno Valley,,0,5,15,1,1,0,0,1631.99
81,2013,33.9102288,-117.2701974,CACTUS AV,ELSWORTH ST,6,0,0,Passenger Car/Station Wagon,5905196,0,513,E,1,2,2013,2,6,30,30,Moreno Valley,,0,6,11,3,1,0,0,1631.99
82,2013,33.91757,-116.67344,RT 111,SNOW CREEK RD,9,0,0,Passenger Car/Station Wagon,5974457,0,1584,N,1,2,2013,2,7,0,36,Palm Springs,,0,2,4,3,1,0,0,966.6
83,2013,34.0621808,-117.5240793,RT 10,ETIWANDA AV,6,0,0,Passenger Car/Station Wagon,5940405,0,1584,E,1,2,2013,2,8,30,17,Fontana,,0,5,11,3,1,0,0,2111.17
84,2013,34.1083449,-117.2897652,5TH ST,E ST,6,0,0,Truck or Truck Tractor,6074684,0,117,E,1,2,2013,2,8,57,43,San Bernardino,,0,6,11,3,1,0,0,2147.88
85,2013,33.5253774,-117.1491148,MARGARITA RD,N GENERAL KEARNY RD,5,0,0,Passenger Car/Station Wagon,5949225,0,10,,1,2,2013,2,9,9,45,Temecula,,0,5,11,3,1,0,0,1646.46
86,2013,33.96854,-117.63233,KIMBALL AV,MILL CREEK AV,5,0,0,Passenger Car/Station Wagon,5991680,0,91,W,1,2,2013,2,9,31,10,Chino,,0,2,4,3,1,0,0,995.67
87,2013,33.7231513,-116.2207497,INDIO BL,OASIS ST,4,0,0,Passenger Car/Station Wagon,5930365,0,37,E,1,2,2013,2,9,40,23,Indio,,0,2,4,3,1,0,0,1158.81
88,2013,34.20144,-117.41614,RT 15,GLEN HELEN PKWY,9,0,0,Unknown,6390984,0,20,S,1,2,2013,2,9,50,41,Rialto,,4,2,13,3,1,0,0,1150.5
89,2013,34.04853,-117.25246,BARTON RD,BENTON ST,3,0,0,Passenger Car/Station Wagon,5976158,0,0,,1,2,2013,2,9,59,27,Loma Linda,,0,0,2,3,1,0,0,350.89
90,2013,33.6397,-117.08329,WASHINGTON ST,WINCHESTER RD,9,0,0,Passenger Car/Station Wagon,5974337,0,900,E,1,2,2013,2,10,15,28,Menifee,,0,4,4,3,1,0,0,636.78
91,2013,34.22336,-117.40943,RT 15,RT 215,9,0,0,Unknown,5908664,1,477,S,1,2,2013,2,10,35,41,Rialto,,4,4,8,3,2,0,0,1150.5
92,2013,33.88832,-117.23492,INDIAN ST,IRIS AV,6,0,0,Passenger Car/Station Wagon,5996901,2,18,S,1,2,2013,2,10,56,30,Moreno Valley,,0,0,11,3,2,0,0,1631.99
93,2013,34.5349864,-117.291097,D ST,HESPERIA RD,5,0,0,Passenger Car/Station Wagon,5914321,0,120,W,1,2,2013,2,11,1,48,Victorville,,0,5,11,3,1,0,0,1334.28
94,2013,33.75571,-116.89816,E POSEY DR,MABLE CT,9,0,0,Passenger Car/Station Wagon,5940449,0,97,N,1,2,2013,2,11,15,44,San Jacinto,,0,6,11,3,1,0,0,504.13
95,2013,33.69027,-117.37534,LAKESHORE DR,CLEMENT ST,4,0,0,Passenger Car/Station Wagon,5999475,1,40,N,1,2,2013,2,11,24,26,Lake Elsinore,,0,1,11,3,2,0,0,347.49
96,2013,34.0685991,-117.335656,VALLEY BL,RANCHO AV,4,0,0,Unknown,5906358,2,0,,1,2,2013,2,11,56,13,Colton,,5,0,11,3,2,0,0,787.59
97,2013,34.0886372,-117.689534,CENTRAL AV,MORENO ST,4,0,0,Passenger Car/Station Wagon,5974483,0,740,S,1,2,2013,2,12,15,29,Montclair,,0,0,11,3,1,0,0,567.09
98,2013,34.07027,-117.39887,VALLEY BL,MAGNOLIA ST,9,0,0,Pickup or Panel Truck,5908686,0,80,E,1,2,2013,2,12,25,17,Fontana,,0,0,11,3,1,0,0,2111.17
99,2013,33.95923,-117.45835,JURUPA AV,RICKENBACKER AV,7,0,0,Pickup or Panel Truck,5949720,1,350,W,1,2,2013,2,12,49,42,Riverside,,0,0,11,3,2,0,0,4187.48
100,2013,34.05706,-117.16817,RT 10,UNIVERSITY ST,5,0,0,Passenger Car/Station Wagon,5940625,0,1584,W,1,2,2013,2,13,4,40,Redlands,,0,2,4,3,1,0,0,1088.77
101,2013,33.968,-117.32795,RT 215,MARTIN LUTHER KING BL,7,0,0,Passenger Car/Station Wagon,5888525,0,500,S,1,2,2013,2,13,10,42,Riverside,,0,5,11,3,1,0,0,4187.48
102,2013,33.94004,-117.41244,MAGNOLIA AV,CORTEZ ST,7,0,0,Passenger Car/Station Wagon,5975810,1,75,W,1,2,2013,2,13,23,42,Riverside,,0,5,11,3,2,0,0,4187.48
103,2013,33.93064,-116.81883,SEMINOLE DR,MALKI RD,9,0,0,Passenger Car/Station Wagon,5974453,0,923,E,1,2,2013,2,13,30,2,Banning,,0,0,11,3,1,0,0,212.51
104,2013,34.033943,-117.0562485,YUCAIPA BL,5TH ST,4,0,0,Passenger Car/Station Wagon,5940251,0,32,W,1,2,2013,2,13,47,50,Yucaipa,,0,5,11,3,1,0,0,475.27
105,2013,33.88451,-117.52339,RT 91,MCKINLEY ST,6,0,0,Truck or Truck Tractor,5888505,1,2112,W,1,2,2013,2,14,0,14,Corona,,0,5,11,3,2,0,0,1610.5
106,2013,33.88101,-117.22627,PERRIS BL,KRAMERIA AV,6,0,0,Passenger Car/Station Wagon,5905140,3,44,N,1,2,2013,2,14,11,30,Moreno Valley,,0,5,11,3,2,0,0,1631.99
107,2013,33.7205771,-116.2155619,RT 111,JACKALOPE TRL,4,0,0,Pickup or Panel Truck,5902579,1,356,E,1,2,2013,2,14,17,23,Indio,,0,5,11,3,2,0,0,1158.81
108,2013,33.9628601,-117.432565,GRAND ARMY AV,JURUPA AV,7,0,0,Unknown,5981457,4,0,,1,2,2013,2,14,55,42,Riverside,,0,1,11,3,2,0,0,4187.48
109,2013,33.91939,-117.43371,RT 91,JACKSON ST,7,0,0,Passenger Car/Station Wagon,5888509,0,263,E,1,2,2013,2,15,0,42,Riverside,,0,5,11,3,1,0,0,4187.48
110,2013,34.415013,-117.2599417,MAIN ST,MAIN ST 18467,5,0,0,Passenger Car/Station Wagon,5895478,0,0,,1,2,2013,2,15,2,20,Hesperia,,0,7,11,3,1,0,0,1438.21
111,2013,33.98865,-117.36998,1ST ST,MAIN ST,7,0,0,Pickup or Panel Truck,5949741,3,0,,1,2,2013,2,15,11,42,Riverside,,0,1,11,3,3,0,0,4187.48
112,2013,34.0225929,-117.5752199,HAVEN AV,CREEKSIDE DR,6,0,0,Unknown,5949587,1,1320,N,1,2,2013,2,15,20,34,Ontario,,0,7,11,1,3,0,0,2160.92
113,2013,34.0921489,-117.4357439,SIERRA AV,MERRILL AV,6,0,0,Passenger Car/Station Wagon,5982621,0,108,N,1,2,2013,2,15,20,17,Fontana,,0,0,11,3,1,0,0,2111.17
114,2013,34.099312,-117.4888785,RT 10,CHERRY AV,6,0,0,Passenger Car/Station Wagon,5940409,0,5280,W,1,2,2013,2,15,40,17,Fontana,,0,5,11,3,1,0,0,2111.17
115,2013,33.88311,-117.53991,RT 91,PROMENADE AV,6,0,0,Pickup or Panel Truck,5888521,0,820,W,1,2,2013,2,15,40,14,Corona,,0,5,11,3,1,0,0,1610.5
116,2013,34.1071011,-117.6415609,FOOTHILL BL,CAMPUS AV,5,0,0,Passenger Car/Station Wagon,6070018,0,468,E,1,2,2013,2,15,48,47,Upland,,0,0,11,3,1,0,0,1021.08
117,2013,33.8151411,-116.4500392,DATE PALM DR,OUTDOOR RESORTS,4,0,0,Unknown,5942227,1,0,,1,2,2013,2,15,56,9,Cathedral City,,0,6,11,3,3,0,0,638.76
118,2013,34.0850347,-117.3529425,PEPPER AV,RANDALL AV,4,0,1,Unknown,5975377,1,0,,1,2,2013,2,16,4,13,Colton,,0,8,17,4,3,0,0,787.59
119,2013,34.10466,-117.25745,3RD ST,TIPPECANOE AV,4,0,0,Unknown,5894845,0,0,,1,2,2013,2,16,4,21,Highland,,0,5,11,3,1,0,0,444.76
120,2013,34.16494,-117.27869,E 40TH ST,NORTH WATERMAN AV,6,0,0,Passenger Car/Station Wagon,6158929,1,0,,1,2,2013,2,16,22,43,San Bernardino,,0,0,11,3,2,0,0,2147.88
121,2013,34.0219723,-117.381294,AGUA MANZA RD,AGUA MANZA RD 1830,6,0,0,Unknown,5816246,0,0,,1,2,2013,2,16,27,24,Jurupa Valley,,0,3,11,3,1,0,0,#N/A
122,2013,33.90687,-117.45692,TYLER ST,RT 91,7,0,0,Passenger Car/Station Wagon,5945102,0,0,,1,2,2013,2,16,30,42,Riverside,,0,6,11,3,1,0,0,4187.48
123,2013,35.27321,-116.05745,RT 15,KELBAKER RD,9,0,0,Passenger Car/Station Wagon,5976384,1,2640,N,1,2,2013,2,16,31,3,Barstow,,0,5,11,3,2,0,0,622.78
124,2013,34.1064975,-117.4536462,FOOTHILL BL,CITRUS AV,6,0,0,Passenger Car/Station Wagon,5982617,0,195,E,1,2,2013,2,16,31,17,Fontana,,0,6,11,3,1,0,0,2111.17
125,2013,34.0164776,-117.6805681,RT 60,BENSON AV,5,0,0,Pickup or Panel Truck,5890797,0,500,W,1,2,2013,2,16,33,10,Chino,,0,5,11,0,1,0,0,995.67
126,2013,33.88088,-117.57497,RT 91,LINCOLN AV,6,0,0,Passenger Car/Station Wagon,5940035,0,200,E,1,2,2013,2,16,50,14,Corona,,0,5,11,4,1,0,0,1610.5
127,2013,34.0776766,-117.6896356,CENTRAL AV,SAN BERNARDINO ST,4,0,0,Passenger Car/Station Wagon,5978280,1,0,,1,2,2013,2,16,54,29,Montclair,,0,0,11,3,3,0,0,567.09
128,2013,34.06605,-117.57631,RT 10,HAVEN AV,6,0,0,Passenger Car/Station Wagon,5940493,0,528,W,1,2,2013,2,16,56,34,Ontario,,0,6,11,3,1,0,0,2160.92
129,2013,33.47054,-117.13684,RT 15,RT 79,5,0,0,Passenger Car/Station Wagon,5882362,3,5280,S,1,2,2013,2,17,0,45,Temecula,,0,5,11,0,2,0,0,1646.46
130,2013,33.97175,-117.53067,64TH ST,HOLMES AV,6,0,0,Unknown,5975618,0,0,,1,2,2013,2,17,7,24,Jurupa Valley,,0,0,11,4,1,0,0,#N/A
131,2013,33.957531,-117.632929,PINE AV,MILLCREEK RD,5,0,0,Pickup or Panel Truck,5923165,4,528,E,1,2,2013,2,17,12,10,Chino,,0,5,11,3,2,0,0,995.67
132,2013,35.20785,-116.11616,RT 15,ZZYZX RD,9,0,0,Passenger Car/Station Wagon,5982457,0,9082,N,1,2,2013,2,17,15,3,Barstow,,0,5,11,4,1,0,0,622.78
133,2013,33.7695426,-116.3907802,MONTEREY AV,WEST HOVELY LN,4,0,0,Passenger Car/Station Wagon,5905846,1,340,S,1,2,2013,2,17,17,35,Palm Desert,,0,5,11,4,3,0,0,1031.96
134,2013,33.55585,-117.17282,MURRIETA HOT SPRINGS RD,JACKSON AV,4,0,0,Passenger Car/Station Wagon,5980646,0,140,W,1,2,2013,2,17,18,31,Murrieta,,0,5,11,1,1,0,0,820.87
135,2013,33.63822,-117.17122,RT 215,SCOTT RD,4,0,0,Passenger Car/Station Wagon,5882354,0,1239,S,1,2,2013,2,17,30,31,Murrieta,,0,5,11,1,1,0,0,820.87
